id,name,country,latitude,longitude,FT10,FT16
9336,B�_n 1,SWE,62.8794,18.4473,84,66.75
9339,B�_t 1,SWE,57.7133,15.0689,104.5,116.5
9343,Dju-1,SWE,57.3089,18.1512,94.5,88
9352,D�_d 2,SWE,57.2608,16.3675,127.75,134.3333333
9353,D�_d 3,SWE,57.2608,16.3675,126,134
9356,Eden 17,SWE,62.8762,18.1746,100.5,118
9363,EdJ 2,SWE,62.9147,18.4045,134,NA
9369,EkS 2,SWE,57.6781,14.9986,81.75,71.25
9371,F�_L 1,SWE,63.016,18.3175,129.25,145
9380,FlyA 3,SWE,55.7488,13.3742,101,98.25
9381,Fri 1,SWE,55.8106,14.2091,98.25,NA
9382,Fri 2,SWE,55.8106,14.2091,99,110.6666667
9383,Fri 3,SWE,55.8106,14.2091,99.33333333,103
9386,Gr�_n 12,SWE,62.806,18.1896,115.5,107.75
9388,Gr�_n 14,SWE,62.806,18.1896,127.25,137
9390,Hadd-1,SWE,57.3263,15.8979,79.75,55
9391,Hadd-2,SWE,57.3263,15.8979,85,64.5
9392,Hadd-3,SWE,57.3263,15.8979,87.25,59
9394,Hag-2,SWE,56.5804,16.4063,110.6666667,110.5
9395,Hal-1,SWE,57.5089,15.0105,104.5,118.25
9399,Hamm-1,SWE,55.4234,13.9905,97,91
9402,Hel-3,SWE,57.8765,14.8549,92.25,78.75
9404,HolA-1 1,SWE,55.7491,13.399,95,78.75
9405,HolA-1 2,SWE,55.7491,13.399,103.5,95.5
9407,HolA-2 2,SWE,55.7491,13.399,91.75,75
9408,Kal 1,SWE,56.047,13.9519,108.25,124
9409,Kia 1,SWE,56.0573,14.302,108.25,119.25
9412,Kor 3,SWE,57.2746,16.1494,87.25,64
9413,Kor 4,SWE,57.2746,16.1494,86,75
9416,Kru-3,SWE,57.7215,18.3837,135.5,129
9421,Lan 1,SWE,55.9745,14.3997,107,103
9427,N�_s 2,SWE,62.8815,18.4055,96.75,119.5
9433,Nyl 13,SWE,62.9513,18.2763,138,137
9434,�_de 2,SWE,62.8959,18.3659,110.25,102.25
9436,Puk-1,SWE,56.1633,14.6806,89,77.5
9437,Puk-2,SWE,56.1633,14.6806,91.75,90
9442,Sim-1,SWE,55.5678,14.3398,104.75,113.25
9450,Spro 1,SWE,57.2545,18.2109,88,78.5
9451,Spro 2,SWE,57.2545,18.2109,107.5,113.6666667
9452,Spro 3,SWE,57.2545,18.2109,101.5,103
9453,Stenk-2,SWE,57.8009,18.5162,106.5,129.5
9454,Stenk-3,SWE,57.8009,18.5162,101.25,138
9455,Stenk-4,SWE,57.8009,18.5162,93.25,102.75
9470,Tur-4,SWE,57.6511,14.8043,102.6666667,90.5
9476,V�rA 1,SWE,55.5796,14.3336,120.25,126.3333333
9481,Yst-1,SWE,55.4242,13.8484,110.5,121
