experiment,tray,row,column,genotype,bag_received
crosses,14,5,11,6092b,
crosses,15,2,8,6092b,
crosses,15,3,8,6092b,
crosses,15,6,1,6092b,
crosses,10,1,9,6125 x 1158,
crosses,10,3,8,6125 x 1158,1
crosses,10,6,6,6125 x 1158,1
crosses,11,1,5,6125 x 1158,
crosses,11,3,6,6125 x 1158,1
crosses,11,5,6,6125 x 1158,
crosses,12,2,11,6125 x 1158,1
crosses,12,4,9,6125 x 1158,1
crosses,12,5,1,6125 x 1158,1
crosses,13,2,6,6125 x 1158,1
crosses,13,4,6,6125 x 1158,
crosses,13,5,7,6125 x 1158,1
crosses,14,1,4,6125 x 1158,1
crosses,14,4,11,6125 x 1158,1
crosses,14,6,2,6125 x 1158,1
crosses,15,1,9,6125 x 1158,1
crosses,15,4,4,6125 x 1158,
crosses,15,5,8,6125 x 1158,
crosses,10,1,6,6125a,
crosses,10,3,5,6125a,
crosses,10,6,9,6125a,
crosses,11,2,5,6125a,
crosses,11,4,5,6125a,1
crosses,11,5,10,6125a,1
crosses,12,1,11,6125a,1
crosses,12,4,4,6125a,1
crosses,12,6,9,6125a,
crosses,13,2,10,6125a,
crosses,13,3,6,6125a,
crosses,13,6,2,6125a,
crosses,14,2,1,6125a,
crosses,14,4,1,6125a,
crosses,14,5,4,6125a,
crosses,15,1,2,6125a,
crosses,15,3,4,6125a,
crosses,15,6,2,6125a,
crosses,10,2,4,6125b,1
crosses,10,4,11,6125b,1
crosses,10,6,10,6125b,1
crosses,11,1,7,6125b,
crosses,11,4,9,6125b,1
crosses,11,6,6,6125b,1
crosses,12,1,10,6125b,1
crosses,12,4,10,6125b,1
crosses,12,6,11,6125b,1
crosses,13,2,4,6125b,
crosses,13,3,3,6125b,
crosses,13,5,4,6125b,
crosses,14,1,2,6125b,1
crosses,14,4,9,6125b,
crosses,14,5,9,6125b,
crosses,15,2,7,6125b,
crosses,15,4,9,6125b,
crosses,15,5,10,6125b,
crosses,10,2,5,8231 x 1158,1
crosses,10,4,5,8231 x 1158,
crosses,10,5,7,8231 x 1158,1
crosses,11,2,7,8231 x 1158,1
crosses,11,4,6,8231 x 1158,1
crosses,11,6,5,8231 x 1158,1
crosses,12,1,5,8231 x 1158,1
crosses,12,4,7,8231 x 1158,
crosses,12,5,4,8231 x 1158,1
crosses,13,1,1,8231 x 1158,
crosses,13,3,8,8231 x 1158,
crosses,13,6,1,8231 x 1158,1
crosses,14,1,5,8231 x 1158,
